"chart","year","rank","title","artist","image"
"hot-100-imprints","2008","4","","J","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2008","5","","Hollywood","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2008","6","","Capitol","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2008","8","","Poe Boy","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2008","9","","LaFace","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2008","10","","Geffen","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2008","11","","Big Machine","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2008","12","","19","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2008","13","","SRP","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2008","14","","Columbia","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2008","15","","Island","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2009","1","","Atlantic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2009","2","","Def Jam","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2009","3","","Music World","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2009","4","","Big Machine","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2009","5","","Cash Money","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2009","6","","Jive","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2009","7","","RCA","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2009","8","","Capitol Nashville","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2009","9","","Interscope","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2009","10","","19","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2010","1","","Cash Money","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2010","2","","LaFace","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2010","3","","Capitol","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2010","4","","Beluga Heights","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2010","5","","RCA","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2010","6","","Mercury","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2010","7","","Capitol Nashville","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2010","8","","Columbia","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2010","9","","Atlantic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2010","10","","Interscope","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2011","1","","Jive","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2011","2","","Capitol","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2011","3","","Elektra","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2011","4","","Cash Money","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2011","5","","Def Jam","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2011","6","","XL","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2011","7","","LaFace","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2011","9","","Capitol Nashville","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2011","10","","Young Money","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2012","1","","Def Jam","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2012","2","","Fueled By Ramen","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2012","3","","RCA","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2012","4","","Poe Boy","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2012","5","","A&M/Octone","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2012","6","","Young Money","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2012","8","","19","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2012","9","","Capitol","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2012","10","","XL","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2013","1","","RCA","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2013","2","","Atlantic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2013","3","","Macklemore","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2013","4","","Republic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2013","5","","KIDinaKORNER","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2013","6","","Def Jam","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2013","7","","Big Machine","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2013","8","","Star Trak","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2013","9","","Capitol Nashville","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2013","10","","19","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2014","1","","Capitol","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2014","2","","RCA","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2014","3","","Atlantic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2014","4","","Lava","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2014","5","","Republic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2014","6","","Beluga Heights","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2014","7","","Capitol Nashville","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2014","8","","G.O.O.D.","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2014","9","","Back Lot","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2014","10","","Island","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2015","1","","RCA","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2015","2","","Atlantic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2015","3","","Big Machine","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2015","4","","RGF","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2015","5","","Island","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2015","6","","Universal Studios","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2015","7","","XO","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2015","8","","Republic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2015","9","","Epic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2015","10","","222","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2016","1","","Republic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2016","2","","Island","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2016","3","","Disruptor","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2016","4","","Westbury Road","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2016","7","","Fueled By Ramen","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2016","8","","XL","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2016","9","","RCA","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2016","10","","SchoolBoy","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2017","1","","Atlantic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2017","2","","Republic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2017","3","","Disruptor","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2017","4","","Columbia","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2017","5","","Quality Control","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2017","6","","XO","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2017","7","","Top Dawg","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2017","8","","Eardrumma","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2017","9","","KIDinaKORNER","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2017","10","","We The Best","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-imprints","2018","1","","Republic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2018","2","","Atlantic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2018","3","","Young Money","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2018","4","","Cash Money","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2018","5","","The KSR Group","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2018","6","","Warner Bros.","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2018","7","","SYCO","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2018","8","","Interscope","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2018","9","","KIDinaKORNER","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2018","10","","222","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-imprints","2019","1","","Republic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2019","2","","Columbia","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2019","3","","Capitol","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2019","4","","Atlantic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2019","5","","Darkroom","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2019","6","","Right Hand","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2019","7","","Island","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2019","8","","Warner Music Nashville","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2019","9","","Nice Life","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-imprints","2019","10","","SouthCoast","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2006","1","","ISLAND DEF JAM MUSIC GROUP","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2006","2","","Atlantic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2006","3","","Interscope","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2006","4","","Zomba","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2006","5","","Geffen","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2007","1","","Interscope","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2007","2","","Zomba","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2007","3","","ISLAND DEF JAM MUSIC GROUP","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2007","4","","RCA MUSIC GROUP","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2007","5","","Universal Motown","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2007","6","","Columbia","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2007","7","","Atlantic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2007","8","","UNIVERSAL REPUBLIC","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2007","9","","Geffen","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2007","10","","Epic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2008","1","","ISLAND DEF JAM MUSIC GROUP","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2008","2","","Interscope","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2008","3","","Zomba","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2008","4","","Atlantic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2008","5","","RCA MUSIC GROUP","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2008","6","","Universal Motown","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2008","7","","Capitol","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2008","8","","Epic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2008","9","","UNIVERSAL REPUBLIC","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2008","10","","Columbia","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2009","1","","Interscope","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2009","2","","Atlantic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2009","3","","ISLAND DEF JAM MUSIC GROUP","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2009","4","","RCA MUSIC GROUP","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2009","5","","Columbia","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2009","6","","JIVE LABEL GROUP","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2009","7","","UNIVERSAL REPUBLIC","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2009","8","","ROADRUNNER PRODUCTIONS","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2009","9","","Universal Motown","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2009","10","","Capitol","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?95f92bcb119a8229a6c0"
"hot-100-labels","2010","1","","Interscope","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2010","2","","Atlantic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2010","3","","ISLAND DEF JAM MUSIC GROUP","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2010","4","","RCA MUSIC GROUP","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2010","5","","JIVE LABEL GROUP","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2010","6","","Universal Motown","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2010","7","","Capitol","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2010","8","","UNIVERSAL REPUBLIC","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2010","9","","Columbia","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2010","10","","Warner Bros.","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2011","1","","Interscope","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-labels","2011","2","","ISLAND DEF JAM MUSIC GROUP","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-labels","2011","3","","JIVE LABEL GROUP","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-labels","2011","4","","UNIVERSAL REPUBLIC","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-labels","2011","5","","RCA","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-labels","2011","6","","Capitol","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-labels","2011","7","","Columbia","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-labels","2011","8","","Atlantic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-labels","2011","9","","ROADRUNNER PROMOTIONS","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-labels","2011","10","","Universal Motown","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-labels","2012","1","","Republic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2012","2","","ISLAND DEF JAM MUSIC GROUP","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2012","3","","Interscope","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2012","4","","RCA","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2012","5","","Columbia","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2012","6","","ROADRUNNER PROMOTIONS","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2012","7","","Atlantic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2012","8","","Capitol","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2012","9","","Capitol Nashville","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2012","10","","Epic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"hot-100-labels","2013","1","","Interscope","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-labels","2013","2","","RCA","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-labels","2013","3","","Republic","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
"hot-100-labels","2013","4","","ISLAND DEF JAM MUSIC GROUP","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f"
