"chart","year","rank","title","artist","image"
"top-artists","2006","47","","D4L","https://charts-static.billboard.com/img/2006/12/d4l-ba3-53x53.jpg"
"top-artists","2006","48","","Juelz Santana","https://charts-static.billboard.com/img/2006/12/juelz-santana-yuj-53x53.jpg"
"top-artists","2006","49","","Madonna","https://charts-static.billboard.com/img/2017/05/madonna-53x53.jpg"
"top-artists","2006","50","","Josh Turner","https://charts-static.billboard.com/img/2006/12/josh-turner-ru7-53x53.jpg"
"top-artists","2007","1","","Akon","https://charts-static.billboard.com/img/2006/12/akon-5il-53x53.jpg"
"top-artists","2007","2","","Fergie","https://charts-static.billboard.com/img/2006/12/fergie-8pu-53x53.jpg"
"top-artists","2007","3","","Justin Timberlake","https://charts-static.billboard.com/img/2006/12/justin-timberlake-bcj-artist-chart-3lf-53x53.jpg"
"top-artists","2007","4","","Daughtry","https://charts-static.billboard.com/img/1840/12/daughtry-c5r-53x53.jpg"
"top-artists","2007","5","","Carrie Underwood","https://charts-static.billboard.com/img/1840/12/carrie-underwood-obd-53x53.jpg"
"top-artists","2007","6","","Beyonce","https://charts-static.billboard.com/img/2006/12/beyonce-000-artist-chart-cci-53x53.jpg"
"top-artists","2007","7","","Nickelback","https://charts-static.billboard.com/img/2006/12/nickelback-v3l-artist-chart-nkg-53x53.jpg"
"top-artists","2007","8","","Avril Lavigne","https://charts-static.billboard.com/img/1840/12/avril-lavigne-tgt-53x53.jpg"
"top-artists","2007","9","","T-Pain","https://charts-static.billboard.com/img/2006/12/t-pain-kj8-53x53.jpg"
"top-artists","2007","10","","Gwen Stefani","https://charts-static.billboard.com/img/2006/12/gwen-stefani-72d-53x53.jpg"
"top-artists","2007","11","","Timbaland","https://charts-static.billboard.com/img/2006/12/timbaland-3i9-53x53.jpg"
"top-artists","2007","12","","Rihanna","https://charts-static.billboard.com/img/2006/12/rihanna-t38-artist-chart-vji-53x53.jpg"
"top-artists","2007","13","","Nelly Furtado","https://charts-static.billboard.com/img/2017/04/nelly-furtado-53x53.jpg"
"top-artists","2007","14","","Rascal Flatts","https://charts-static.billboard.com/img/2017/06/rascal-flatts-53x53.jpg"
"top-artists","2007","15","","Maroon 5","https://charts-static.billboard.com/img/1840/12/maroon-5-9st-53x53.jpg"
"top-artists","2007","16","","Kanye West","https://charts-static.billboard.com/img/2017/04/kanye-west-53x53.jpg"
"top-artists","2007","17","","Fall Out Boy","https://charts-static.billboard.com/img/2006/12/fall-out-boy-zhw-53x53.jpg"
"top-artists","2007","18","","T.I.","https://charts-static.billboard.com/img/2017/07/ti-53x53.jpg"
"top-artists","2007","19","","Linkin Park","https://charts-static.billboard.com/img/2017/08/linkin-park-53x53.jpg"
"top-artists","2007","20","","JAY-Z","https://charts-static.billboard.com/img/2006/12/jay-z-g81-artist-chart-x1y-53x53.jpg"
"top-artists","2007","21","","Ciara","https://charts-static.billboard.com/img/2006/12/ciara-b1v-53x53.jpg"
"top-artists","2007","22","","The Fray","https://charts-static.billboard.com/img/2016/11/the-fray-53x53.jpg"
"top-artists","2007","23","","Tim McGraw","https://charts-static.billboard.com/img/2017/04/tim-mcgraw-53x53.jpg"
"top-artists","2007","24","","Hinder","https://charts-static.billboard.com/img/2006/12/hinder-iwo-53x53.jpg"
"top-artists","2007","25","","Plain White T's","https://charts-static.billboard.com/img/2007/12/plain-white-ts-8xj-53x53.jpg"
"top-artists","2007","26","","P!nk","https://charts-static.billboard.com/img/2017/04/pnk-53x53.jpg"
"top-artists","2007","27","","Ne-Yo","https://charts-static.billboard.com/img/2006/12/ne-yo-kuu-artist-chart-q47-53x53.jpg"
"top-artists","2007","28","","Brad Paisley","https://charts-static.billboard.com/img/2017/05/brad-paisley-53x53.jpg"
"top-artists","2007","29","","Mims","https://charts-static.billboard.com/img/2007/12/mims-wnl-53x53.jpg"
"top-artists","2007","30","","Ludacris","https://charts-static.billboard.com/img/2017/04/ludacris-53x53.jpg"
"top-artists","2007","31","","Taylor Swift","https://charts-static.billboard.com/img/2006/12/taylor-swift-p7u-artist-chart-ylp-53x53.jpg"
"top-artists","2007","32","","Kenny Chesney","https://charts-static.billboard.com/img/2017/06/kenny-chesney-53x53.jpg"
"top-artists","2007","33","","Robin Thicke","https://charts-static.billboard.com/img/2007/12/robin-thicke-cu8-53x53.jpg"
"top-artists","2007","34","","Lloyd","https://charts-static.billboard.com/img/2007/12/lloyd-a2k-53x53.jpg"
"top-artists","2007","35","","Unk","https://charts-static.billboard.com/img/2007/12/unk-q7p-53x53.jpg"
"top-artists","2007","36","","Shop Boyz","https://charts-static.billboard.com/img/2007/12/shop-boyz-8yf-53x53.jpg"
"top-artists","2007","37","","Sean Kingston","https://charts-static.billboard.com/img/2007/12/sean-kingston-qzx-53x53.jpg"
"top-artists","2007","38","","Soulja Boy Tell'em","https://charts-static.billboard.com/img/2007/12/soulja-boy-4vz-53x53.jpg"
"top-artists","2007","39","","My Chemical Romance","https://charts-static.billboard.com/img/2007/12/my-chemical-romance-1es-53x53.jpg"
"top-artists","2007","40","","John Mayer","https://charts-static.billboard.com/img/2017/05/john-mayer-53x53.jpg"
"top-artists","2007","41","","Amy Winehouse","https://charts-static.billboard.com/img/2007/12/amy-winehouse-rus-53x53.jpg"
"top-artists","2007","42","","Young Jeezy","https://charts-static.billboard.com/img/2006/12/young-jeezy-ows-53x53.jpg"
"top-artists","2007","43","","Bow Wow","https://charts-static.billboard.com/img/2006/12/bow-wow-ywr-53x53.jpg"
"top-artists","2007","44","","Keith Urban","https://charts-static.billboard.com/img/1840/12/keith-urban-9lg-53x53.jpg"
"top-artists","2007","45","","Sugarland","https://charts-static.billboard.com/img/1840/12/sugarland-nql-53x53.jpg"
"top-artists","2007","46","","Chris Brown","https://charts-static.billboard.com/img/2006/12/chris-brown-cte-53x53.jpg"
"top-artists","2007","47","","50 Cent","https://charts-static.billboard.com/img/2006/12/50-cent-9ay-53x53.jpg"
"top-artists","2007","48","","Snoop Dogg","https://charts-static.billboard.com/img/2017/07/snoop-dogg-53x53.jpg"
"top-artists","2007","49","","R. Kelly","https://charts-static.billboard.com/img/2017/01/r-kelly-53x53.jpg"
"top-artists","2007","50","","Josh Groban","https://charts-static.billboard.com/img/2017/04/josh-groban-53x53.jpg"
"top-artists","2008","1","","Chris Brown","https://charts-static.billboard.com/img/2006/12/chris-brown-cte-53x53.jpg"
"top-artists","2008","2","","Lil Wayne","https://charts-static.billboard.com/img/2017/08/lil-wayne-53x53.jpg"
"top-artists","2008","3","","Rihanna","https://charts-static.billboard.com/img/2006/12/rihanna-t38-artist-chart-vji-53x53.jpg"
"top-artists","2008","4","","Alicia Keys","https://charts-static.billboard.com/img/2006/12/alicia-keys-xkr-53x53.jpg"
